ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,gassy,gassy_lower,gassy_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
-149.96666666666667,11.66104,7.486602168476457,9.216810384182686,11.66104,11.66104,-3.3360014531498083,-3.3360014531498083,-3.3360014531498083,-3.3360014531498083,-3.3360014531498083,-3.3360014531498083,0.0,0.0,0.0,8.325038546850191,8.0
-149.95,11.686695034452102,7.516794311267437,9.201608290979024,11.686695034452102,11.686695034452102,-3.3558055999999996,-3.3558055999999996,-3.3558055999999996,-3.3558055999999996,-3.3558055999999996,-3.3558055999999996,0.0,0.0,0.0,8.330889434452102,8.0
-149.93333333333334,11.7123500689042,7.473118817096877,9.136183205505688,11.7123500689042,11.7123500689042,-3.375739536652845,-3.375739536652845,-3.375739536652845,-3.375739536652845,-3.375739536652845,-3.375739536652845,0.0,0.0,0.0,8.336610532251356,8.0
-149.91666666666666,11.7380051033563,7.489529643081703,9.162517577217153,11.7380051033563,11.7380051033563,-3.395799716837708,-3.395799716837708,-3.395799716837708,-3.395799716837708,-3.395799716837708,-3.395799716837708,0.0,0.0,0.0,8.342205386518593,8.0
-149.9,11.763660137808403,7.498878278853409,9.186476559934992,11.763660137808403,11.763660137808403,-3.415982488323921,-3.415982488323921,-3.415982488323921,-3.415982488323921,-3.415982488323921,-3.415982488323921,0.0,0.0,0.0,8.347677649484481,8.0
-149.88333333333333,11.789315172260501,7.451175270143775,9.231719054475382,11.789315172260501,11.789315172260501,-3.4362840961391017,-3.4362840961391017,-3.4362840961391017,-3.4362840961391017,-3.4362840961391017,-3.4362840961391017,0.0,0.0,0.0,8.3530310761214,8.0
-149.86666666666667,11.814970206712603,7.4965581680508935,9.200982434368584,11.814970206712603,11.814970206712603,-3.4567006858748837,-3.4567006858748837,-3.4567006858748837,-3.4567006858748837,-3.4567006858748837,-3.4567006858748837,0.0,0.0,0.0,8.35826952083772,8.0
-149.85,11.840625241164703,7.474370184101321,9.194335998355793,11.840625241164703,11.840625241164703,-3.4772283070769494,-3.4772283070769494,-3.4772283070769494,-3.4772283070769494,-3.4772283070769494,-3.4772283070769494,0.0,0.0,0.0,8.363396934087755,8.0
-149.83333333333334,11.866280275616806,7.485702099889957,9.254446672654218,11.866280275616806,11.866280275616806,-3.4978629167161746,-3.4978629167161746,-3.4978629167161746,-3.4978629167161746,-3.4978629167161746,-3.4978629167161746,0.0,0.0,0.0,8.368417358900631,8.0
-149.81666666666666,11.891935310068904,7.548201944338299,9.19316266491365,11.891935310068904,11.891935310068904,-3.518600382737632,-3.518600382737632,-3.518600382737632,-3.518600382737632,-3.518600382737632,-3.518600382737632,0.0,0.0,0.0,8.373334927331271,8.0
-149.8,11.917590344521006,7.5579769142821185,9.258988976917466,11.917590344521006,11.917590344521006,-3.539436487684129,-3.539436487684129,-3.539436487684129,-3.539436487684129,-3.539436487684129,-3.539436487684129,0.0,0.0,0.0,8.378153856836878,8.0
-149.78333333333333,11.943245378973106,7.501423847640482,9.292994763762415,11.943245378973106,11.943245378973106,-3.560366932390851,-3.560366932390851,-3.560366932390851,-3.560366932390851,-3.560366932390851,-3.560366932390851,0.0,0.0,0.0,8.382878446582255,8.0
-149.76666666666668,11.968900413425205,7.456301799370516,9.195206266614166,11.968900413425205,11.968900413425205,-3.5813873397477125,-3.5813873397477125,-3.5813873397477125,-3.5813873397477125,-3.5813873397477125,-3.5813873397477125,0.0,0.0,0.0,8.387513073677493,8.0
-149.75,11.994555447877307,7.480642514985236,9.283285600028687,11.994555447877307,11.994555447877307,-3.602493258525822,-3.602493258525822,-3.602493258525822,-3.602493258525822,-3.602493258525822,-3.602493258525822,0.0,0.0,0.0,8.392062189351485,8.0
-149.73333333333332,12.020210482329407,7.491408184456957,9.250480019549784,12.020210482329407,12.020210482329407,-3.6236801672645376,-3.6236801672645376,-3.6236801672645376,-3.6236801672645376,-3.6236801672645376,-3.6236801672645376,0.0,0.0,0.0,8.396530315064869,8.0
-149.71666666666667,12.045865516781507,7.55487450988469,9.260980832214846,12.045865516781507,12.045865516781507,-3.644943478215452,-3.644943478215452,-3.644943478215452,-3.644943478215452,-3.644943478215452,-3.644943478215452,0.0,0.0,0.0,8.400922038566055,8.0
-149.7,12.071520551233608,7.587072960385962,9.244900645099063,12.071520551233608,12.071520551233608,-3.666278541339647,-3.666278541339647,-3.666278541339647,-3.666278541339647,-3.666278541339647,-3.666278541339647,0.0,0.0,0.0,8.40524200989396,8.0
-149.68333333333334,12.097175585685708,7.561022305019906,9.246509633123644,12.097175585685708,12.097175585685708,-3.687680648354455,-3.687680648354455,-3.687680648354455,-3.687680648354455,-3.687680648354455,-3.687680648354455,0.0,0.0,0.0,8.409494937331253,8.0
-149.66666666666666,12.122830620137808,7.56100937158133,9.303508269716689,12.122830620137808,12.122830620137808,-3.709145036825991,-3.709145036825991,-3.709145036825991,-3.709145036825991,-3.709145036825991,-3.709145036825991,0.0,0.0,0.0,8.413685583311818,8.0
-149.65,12.148485654589908,7.565939120359374,9.217622356220803,12.148485654589908,12.148485654589908,-3.730666894303618,-3.730666894303618,-3.730666894303618,-3.730666894303618,-3.730666894303618,-3.730666894303618,0.0,0.0,0.0,8.417818760286291,8.0
-149.63333333333333,12.17414068904201,7.543479544533257,9.220634498017635,12.17414068904201,12.17414068904201,-3.7522413624925095,-3.7522413624925095,-3.7522413624925095,-3.7522413624925095,-3.7522413624925095,-3.7522413624925095,0.0,0.0,0.0,8.4218993265495,8.0
-149.61666666666667,12.199795723494109,7.552059789844666,9.286504333905357,12.199795723494109,12.199795723494109,-3.773863541460407,-3.773863541460407,-3.773863541460407,-3.773863541460407,-3.773863541460407,-3.773863541460407,0.0,0.0,0.0,8.425932182033701,8.0
-149.6,12.22545075794621,7.61378858809896,9.293822541610902,12.22545075794621,12.22545075794621,-3.795528493874698,-3.795528493874698,-3.795528493874698,-3.795528493874698,-3.795528493874698,-3.795528493874698,0.0,0.0,0.0,8.42992226407151,8.0
-149.58333333333334,12.251105792398311,7.56438194309765,9.36156285023602,12.251105792398311,12.251105792398311,-3.81723124926583,-3.81723124926583,-3.81723124926583,-3.81723124926583,-3.81723124926583,-3.81723124926583,0.0,0.0,0.0,8.433874543132482,8.0
-149.56666666666666,12.276760826850413,7.585287581038562,9.338335331264481,12.276760826850413,12.276760826850413,-3.8389668083131423,-3.8389668083131423,-3.8389668083131423,-3.8389668083131423,-3.8389668083131423,-3.8389668083131423,0.0,0.0,0.0,8.437794018537272,8.0
-149.55,12.302415861302512,7.642107722378167,9.312208773502174,12.302415861302512,12.302415861302512,-3.860730147149121,-3.860730147149121,-3.860730147149121,-3.860730147149121,-3.860730147149121,-3.860730147149121,0.0,0.0,0.0,8.44168571415339,8.0
-149.53333333333333,12.328070895754612,7.613430074327756,9.288081333812539,12.328070895754612,12.328070895754612,-3.882516221678082,-3.882516221678082,-3.882516221678082,-3.882516221678082,-3.882516221678082,-3.882516221678082,0.0,0.0,0.0,8.44555467407653,8.0
-149.51666666666668,12.353725930206714,7.556041360600378,9.293786336083834,12.353725930206714,12.353725930206714,-3.9043199719052786,-3.9043199719052786,-3.9043199719052786,-3.9043199719052786,-3.9043199719052786,-3.9043199719052786,0.0,0.0,0.0,8.449405958301435,8.0
-149.5,12.379380964658813,7.586168675731068,9.316965180142766,12.379380964658813,12.379380964658813,-3.9261363262724607,-3.9261363262724607,-3.9261363262724607,-3.9261363262724607,-3.9261363262724607,-3.9261363262724607,0.0,0.0,0.0,8.453244638386352,8.0
-149.48333333333332,12.405035999110915,7.642347266582054,9.326119749313357,12.405035999110915,12.405035999110915,-3.947960205995801,-3.947960205995801,-3.947960205995801,-3.947960205995801,-3.947960205995801,-3.947960205995801,0.0,0.0,0.0,8.457075793115113,8.0
-149.46666666666667,12.430691033563015,7.581338555108796,9.37665914387193,12.430691033563015,12.430691033563015,-3.969786529402258,-3.969786529402258,-3.969786529402258,-3.969786529402258,-3.969786529402258,-3.969786529402258,0.0,0.0,0.0,8.460904504160757,8.0
-149.45,12.456346068015113,7.578052881873563,9.259166527220785,12.456346068015113,12.456346068015113,-3.9916102162603058,-3.9916102162603058,-3.9916102162603058,-3.9916102162603058,-3.9916102162603058,-3.9916102162603058,0.0,0.0,0.0,8.464735851754808,8.0
-149.43333333333334,12.482001102467216,7.60085798279643,9.329080341667686,12.482001102467216,12.482001102467216,-4.013426192101065,-4.013426192101065,-4.013426192101065,-4.013426192101065,-4.013426192101065,-4.013426192101065,0.0,0.0,0.0,8.46857491036615,8.0
-149.41666666666666,12.507656136919316,7.591653252616798,9.336283902456653,12.507656136919316,12.507656136919316,-4.03522939252584,-4.03522939252584,-4.03522939252584,-4.03522939252584,-4.03522939252584,-4.03522939252584,0.0,0.0,0.0,8.472426744393477,8.0
-149.4,12.533311171371416,7.6241889740758175,9.287340013017992,12.533311171371416,12.533311171371416,-4.057014767496079,-4.057014767496079,-4.057014767496079,-4.057014767496079,-4.057014767496079,-4.057014767496079,0.0,0.0,0.0,8.476296403875338,8.0
